question,variables,target,dataset,formatter,subset,split
"During the second half of the twentieth century, the Supreme Court's position on free speech was that","{""A"": ""free speech is essential to liberty and therefore may be abridged only under extreme circumstances"", ""B"": ""the government may never limit speech because free speech is protected by the First Amendment"", ""C"": ""state governments may place limits on free speech, but the national government may not because of the First Amendment"", ""D"": ""the government may limit speech that the majority of Americans finds offensive""}",A,mmlu,mmlu,mmlu-high_school_government_and_politics,validation
Which of the following court decisions did NOT deal with the First Amendment?,"{""A"": ""Roe v. Wade"", ""B"": ""New York Times v. United States"", ""C"": ""DeJonge v. Oregon"", ""D"": ""Dennis v. United States""}",A,mmlu,mmlu,mmlu-high_school_government_and_politics,validation
Which group most frequently benefits from political action committee (PAC) donations?,"{""A"": ""Charitable organizations"", ""B"": ""Federal judges"", ""C"": ""Political interest groups"", ""D"": ""Incumbents running for reelection""}",D,mmlu,mmlu,mmlu-high_school_government_and_politics,validation
A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?,"{""A"": ""1.0 mL"", ""B"": ""10 mL"", ""C"": ""20 mL"", ""D"": ""50 mL""}",C,mmlu,mmlu,mmlu-college_chemistry,train
"Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.","{""A"": ""4"", ""B"": ""3"", ""C"": ""6"", ""D"": ""24""}",A,mmlu,mmlu,mmlu-college_chemistry,train
"3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as","{""A"": ""an acid"", ""B"": ""a base"", ""C"": ""a catalyst"", ""D"": ""a reducing agent""}",D,mmlu,mmlu,mmlu-college_chemistry,train
"Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?","{""A"": ""PbH4 < SnH4 < GeH4 < SiH4 < CH4"", ""B"": ""PbH4 < SnH4 < CH4 < GeH4 < SiH4"", ""C"": ""CH4 < SiH4 < GeH4 < SnH4 < PbH4"", ""D"": ""CH4 < PbH4 < GeH4 < SnH4 < SiH4""}",A,mmlu,mmlu,mmlu-college_chemistry,train
Which of the following is a true statement about optical isomerism of complexes containing achiral ligands?,"{""A"": ""Square planar complexes can display optical isomerism only if all four ligands are identical."", ""B"": ""Tetrahedral complexes never display optical isomerism."", ""C"": ""Linear complexes can display optical isomerism when both ligands are different."", ""D"": ""Octahedral complexes of monodentate ligands can display optical isomerism only when they have at least three different ligands.""}",D,mmlu,mmlu,mmlu-college_chemistry,test
What is the magnetic moment of 205Tl?,"{""A"": ""[\u0263 (205TI = 1.569 x 108 T-1 s-1, I = \u00bd]"", ""B"": ""0.717 x 10^-26 J T-1"", ""C"": ""0.827 x 10^-26 J T-1"", ""D"": ""1.433 x 10^-26 J T-1""}",C,mmlu,mmlu,mmlu-college_chemistry,test
Reduction of D-xylose with NaBH4 yields a product that is a,"{""A"": ""racemic mixture"", ""B"": ""single pure enantiomer"", ""C"": ""mixture of two diastereomers in equal amounts"", ""D"": ""meso compound""}",D,mmlu,mmlu,mmlu-college_chemistry,validation
The complex question fallacy consists of,"{""A"": ""arguing something is inferior just because it doesn't do something it was never intended to do."", ""B"": ""including more than one claim in the proposition and treating proof for one claim as proof for all the claims."", ""C"": ""drawing a conclusion before examining the evidence, and only considering evidence that supports that conclusion."", ""D"": ""asking a question that includes either an unproven assumption or more than one question, thus making a straightforward yes or no answer meaningless.""}",D,mmlu,mmlu,mmlu-logical_fallacies,train
Which of the following is true of a valid categorical syllogism?,"{""A"": ""The minor premise must deny the antecedent"", ""B"": ""The major premise must affirm the consequent"", ""C"": ""The middle term must be used in at least one premise in a universal or unqualified sense"", ""D"": ""All of the above""}",C,mmlu,mmlu,mmlu-logical_fallacies,train
Arguing that what is true of the parts must be true of the whole is the fallacy of...,"{""A"": ""Division"", ""B"": ""Composition"", ""C"": ""Appeal to the person"", ""D"": ""Appeal to ignorance""}",B,mmlu,mmlu,mmlu-logical_fallacies,train
"When an arguer causes confusion during refutation because of real or feigned lack of an ability to engage in refutation, that arguer may have committed the fallacy of","{""A"": ""poor sportsmanship"", ""B"": ""appeal to compassion"", ""C"": ""argument against the person"", ""D"": ""ignorance of refutation""}",D,mmlu,mmlu,mmlu-logical_fallacies,train
"I don't understand why everyone thinks they belong in college. After all, everyone knows that when you are intelligent you'll succeed. But so many people that elect to attend college don't have even the most basic intelligence. How do they expect to get anywhere here?","{""A"": ""Attacking the Person (ad hominem)"", ""B"": ""Straw Man"", ""C"": ""Denying the Antecedent"", ""D"": ""Begging the Question""}",C,mmlu,mmlu,mmlu-logical_fallacies,test
Evading burden of proof is another name for the fallacy of,"{""A"": ""Extension"", ""B"": ""Appeal to ignorance"", ""C"": ""Complex question"", ""D"": ""Complex proposition""}",B,mmlu,mmlu,mmlu-logical_fallacies,test
""" _Ad antiquitatem_ "" is a specific kind of","{""A"": ""False cause"", ""B"": ""False sign"", ""C"": ""False analogy"", ""D"": ""Hasty Generalization""}",B,mmlu,mmlu,mmlu-logical_fallacies,test
The hasty conclusion fallacy is,"{""A"": ""arguing that a single event caused another when the cause is really several events"", ""B"": ""making an argument without enough evidence to support the conclusion"", ""C"": ""substituting individual stories for a larger sample in support of a claim"", ""D"": ""reasoning that applies irrelevant criteria to the subject of the argument.""}",B,mmlu,mmlu,mmlu-logical_fallacies,test
"""Anecdotal evidence"" is a fallacy that happens when an arguer","{""A"": ""substitutes individual stories for a larger sample as support for a generalization."", ""B"": ""argues that something is necessarily better because it is old"", ""C"": ""argues that since one event preceded a second event, the first event must have caused the second event"", ""D"": ""argues that something is necessarily better because it is new""}",A,mmlu,mmlu,mmlu-logical_fallacies,validation
Another name for the fallacy of appeal to force is,"{""A"": ""ignoratio elenchi"", ""B"": ""ad misericordiam"", ""C"": ""ad baculum"", ""D"": ""ad hominem""}",C,mmlu,mmlu,mmlu-logical_fallacies,validation
Which of the following best describes the fallacy of hypostatization?,"{""A"": ""Treating something that exists in the mind as if it was a real object."", ""B"": ""Changing the meaning of a word or phrase from one part of the argument to another."", ""C"": ""Using language and punctuation in a way that a statement can have multiple interpretations, so it's not really clear what is meant."", ""D"": ""A form of loaded language that uses an emotionally charged restatement of the claim in place of support for the claim.""}",A,mmlu,mmlu,mmlu-logical_fallacies,validation
"During the third stage of the demographic transition model, which of the following is true?","{""A"": ""Birth rates increase and population growth rate is less rapid."", ""B"": ""Birth rates decline and population growth rate is less rapid."", ""C"": ""Birth rates increase and population growth rate increases."", ""D"": ""Birth rates decrease and population growth rate increases.""}",B,mmlu,mmlu,mmlu-high_school_geography,train
Which of the following statements is NOT accurate regarding the services provided by local governments in the United States?,"{""A"": ""Duplication of efforts occurs often."", ""B"": ""Social problems of the central city spill over into the surrounding residential suburbs."", ""C"": ""Inefficiency in providing services occurs often."", ""D"": ""One neighborhood's efforts to reduce pollution are always supported by neighboring communities.""}",D,mmlu,mmlu,mmlu-high_school_geography,train
The practice of hiring a foreign third-party service provider to run an operation is called,"{""A"": ""outsourcing."", ""B"": ""offshoring."", ""C"": ""maquiladoras."", ""D"": ""locational interdependence.""}",B,mmlu,mmlu,mmlu-high_school_geography,train
Which one of the following items is an example of nonmaterial culture?,"{""A"": ""Dove soap"", ""B"": ""Dove candy bar"", ""C"": ""Dove symbol"", ""D"": ""A dove (bird)""}",C,mmlu,mmlu,mmlu-high_school_geography,train
The key factor Thomas Malthus failed to recognize in his population theory was,"{""A"": ""population is limited by their means of subsistence."", ""B"": ""all populations have the potential to increase more than the actual rate of increase."", ""C"": ""wars and famine inhibit population's reproductive capacity."", ""D"": ""technology's ability to raise the Earth's carrying capacity.""}",D,mmlu,mmlu,mmlu-high_school_geography,test
What family do most European languages belong to?,"{""A"": ""Ural-Altaic"", ""B"": ""Basque"", ""C"": ""Indo-European"", ""D"": ""Phoenician""}",C,mmlu,mmlu,mmlu-high_school_geography,test
Which theorist(s) tried to explain the prices of farm products as they relate to patterns of land use?,"{""A"": ""Rostow"", ""B"": ""Ravenstein"", ""C"": ""Von Th\u00fcnen"", ""D"": ""Burgess""}",C,mmlu,mmlu,mmlu-high_school_geography,test
Which of the following items below is NOT considered a barrier to the diffusion of an innovation?,"{""A"": ""Internet"", ""B"": ""Distance"", ""C"": ""Cultural obstacles"", ""D"": ""Government interference""}",A,mmlu,mmlu,mmlu-high_school_geography,test
World population tends to be concentrated,"{""A"": ""in continental interiors."", ""B"": ""on continental margins."", ""C"": ""in the desert."", ""D"": ""in the tropical lowlands and river valleys.""}",B,mmlu,mmlu,mmlu-high_school_geography,validation
"The rehabilitation of old, rundown inner-city neighborhoods by middle- and high-income people is called","{""A"": ""urbanization."", ""B"": ""gentrification."", ""C"": ""suburbanization."", ""D"": ""multiplier effect.""}",B,mmlu,mmlu,mmlu-high_school_geography,validation
Which of the following is NOT usually a possible reason for migration?,"{""A"": ""Educational opportunities"", ""B"": ""Environmental appeals or dislikes"", ""C"": ""Changes in life cycle"", ""D"": ""Political party affiliation""}",D,mmlu,mmlu,mmlu-high_school_geography,validation
The rectangular land survey system is based on all of the following EXCEPT,"{""A"": ""block pattern of land survey."", ""B"": ""rural road patterns."", ""C"": ""dispersed pattern of isolated farmsteads."", ""D"": ""French and Spanish settlement patterns.""}",D,mmlu,mmlu,mmlu-high_school_geography,validation
"Olivia used the rule ""Add 11"" to create the number pattern shown below. 10, 21, 32, 43, 54 Which statement about the number pattern is true?","{""A"": ""The 10th number in the pattern will be an even number."", ""B"": ""The number pattern will never have two even numbers next to each other."", ""C"": ""The next two numbers in the pattern will be an even number then an odd number."", ""D"": ""If the number pattern started with an odd number then the pattern would have only odd numbers in it.""}",B,mmlu,mmlu,mmlu-elementary_mathematics,train
A total of 30 players will play basketball at a park. There will be exactly 5 players on each team. Which statement correctly explains how to find the number of teams needed?,"{""A"": ""Add 5 to 30 to find 35 teams."", ""B"": ""Divide 30 by 5 to find 6 teams."", ""C"": ""Multiply 30 and 5 to find 150 teams."", ""D"": ""Subtract 5 from 30 to find 25 teams.""}",B,mmlu,mmlu,mmlu-elementary_mathematics,train
A store sells 107 different colors of paint. They have 25 cans of each color in storage. The number of cans of paint the store has in storage can be found using the expression below. 107 × 25. How many cans of paint does the store have in storage?,"{""A"": ""749"", ""B"": ""2,675"", ""C"": ""2,945"", ""D"": ""4,250""}",B,mmlu,mmlu,mmlu-elementary_mathematics,train
Which expression is equivalent to 5 x 9?,"{""A"": ""(5 x 4) x (6 x 5)"", ""B"": ""(5 x 5) + (5 x 4)"", ""C"": ""(5 x 5) + (5 x 9)"", ""D"": ""(5 x 9) x (6 x 9)""}",B,mmlu,mmlu,mmlu-elementary_mathematics,train
Two whole numbers have a least common multiple of 60. Each number is less than or equal to 12. The greatest common factor of the two numbersis 2. What are the two numbers?,"{""A"": ""6 and 10"", ""B"": ""5 and 12"", ""C"": ""10 and 12"", ""D"": ""12 and 15""}",C,mmlu,mmlu,mmlu-elementary_mathematics,test
Westview School is buying new basketball uniforms. Each uniform costs $46. The school will buy 12 uniforms. Which equation shows a way to find the total cost of the uniforms?,"{""A"": ""(40 \u00d7 10) + (6 \u00d7 2) = 400 + 12"", ""B"": ""(40 \u00d7 6) + (10 \u00d7 2) = 240 + 20"", ""C"": ""(40 \u00d7 12) + (6 \u00d7 12) = 480 + 72"", ""D"": ""(40 \u00d7 12) + (60 \u00d7 12) = 480 + 720""}",C,mmlu,mmlu,mmlu-elementary_mathematics,test
Solve 3 over 4 * x = 24.,"{""A"": ""18"", ""B"": ""32"", ""C"": ""72"", ""D"": ""96""}",B,mmlu,mmlu,mmlu-elementary_mathematics,test
Find the exact answer: 110 + 70,"{""A"": ""18"", ""B"": ""81"", ""C"": ""180"", ""D"": ""810""}",C,mmlu,mmlu,mmlu-elementary_mathematics,test
All of Bella’s photos are in 8 photo books. Each photo book has 25 photos. Which expression shows how to find the total number of photos Bella has?,"{""A"": ""25 \u00f7 8"", ""B"": ""25 \u2013 8"", ""C"": ""25 + 8"", ""D"": ""25 \u00d7 8""}",D,mmlu,mmlu,mmlu-elementary_mathematics,test
John has 4 cookies. Sara has 2 more cookies than John. Darius has 3 times as many cookies as Sara. How many cookies does Darius have?,"{""A"": ""9"", ""B"": ""14"", ""C"": ""18"", ""D"": ""24""}",C,mmlu,mmlu,mmlu-elementary_mathematics,test
Use the equation below to answer the question. 14 × 3 = 42 Which statement correctly interprets the expression?,"{""A"": ""14 is 3 more than 42."", ""B"": ""42 is 14 more than 3."", ""C"": ""14 is 3 times as many as 42."", ""D"": ""42 is 3 times as many as 14.""}",D,mmlu,mmlu,mmlu-elementary_mathematics,test
Some bakers make apple pies. They have 15 boxes of apples. Each box has 18 apples. They use 7 apples for each pie. What is the total number of apple pies that the bakers can make?,"{""A"": ""33"", ""B"": ""38"", ""C"": ""39"", ""D"": ""40""}",B,mmlu,mmlu,mmlu-elementary_mathematics,test
Solve for y. y – 2 + 3y = 10,"{""A"": ""2"", ""B"": ""3"", ""C"": ""4"", ""D"": ""5""}",B,mmlu,mmlu,mmlu-elementary_mathematics,validation
Solve 3 over 2 * w = 66.,"{""A"": ""33"", ""B"": ""44"", ""C"": ""88"", ""D"": ""99""}",B,mmlu,mmlu,mmlu-elementary_mathematics,validation
Solve −2k = −34.8.,"{""A"": ""\u221269.6"", ""B"": ""\u221217.4"", ""C"": ""17.4"", ""D"": ""69.6""}",D,mmlu,mmlu,mmlu-elementary_mathematics,validation
"Carmen saved 592 pennies. Her sister saved 128 pennies. Together, they put 250 pennies in wrappers and took them to the bank. Whatis the total number of pennies, rounded to the nearest hundred, Carmen and her sister have left?","{""A"": ""300"", ""B"": ""500"", ""C"": ""700"", ""D"": ""1,000""}",B,mmlu,mmlu,mmlu-elementary_mathematics,validation
Use rounding to estimate the product of 8.2 • 6.43 to the nearest whole number.,"{""A"": ""48"", ""B"": ""56"", ""C"": ""62"", ""D"": ""24""}",B,mmlu,mmlu,mmlu-elementary_mathematics,validation
"Residents of a small city voted on whether to allow a developer to build a shopping center. The number of votes in favor of the shopping center was 4,400. The number of votes against the shopping center was 17,600. What percent of the voters were in favor of building the shopping center?","{""A"": ""20%"", ""B"": ""25%"", ""C"": ""40%"", ""D"": ""44%""}",A,mmlu,mmlu,mmlu-elementary_mathematics,validation
"Dawn needs to fix windows in her house. She must buy 3 feet of wood, which costs $7 per foot. She also needs to buy 4 pieces of glass. Each piece of glass costs $23. What will be the total cost for fixing the windows?","{""A"": ""$30 "", ""B"": ""$90 "", ""C"": ""$113 "", ""D"": ""$176 ""}",C,mmlu,mmlu,mmlu-elementary_mathematics,validation
"What is the rule for the pattern? 41, 38, 35, 32, 29,...","{""A"": ""divide by 3"", ""B"": ""divide by 4"", ""C"": ""subtract 3"", ""D"": ""subtract 4""}",C,mmlu,mmlu,mmlu-elementary_mathematics,validation
The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the,"{""A"": ""Adolescence advantage"", ""B"": ""Reminiscence bump"", ""C"": ""Memorial memorial"", ""D"": ""Quadratic retrieval spike""}",B,mmlu,mmlu,mmlu-human_aging,train
"When older adults move to a new state after retirement, which of the following is the more likely destination?","{""A"": ""Texas"", ""B"": ""California"", ""C"": ""Hawaii"", ""D"": ""Vermont""}",A,mmlu,mmlu,mmlu-human_aging,train
Which element in tobacco smoke is responsible for cancers?,"{""A"": ""Nicotine"", ""B"": ""Tar"", ""C"": ""Carbon monoxide"", ""D"": ""Smoke particles""}",B,mmlu,mmlu,mmlu-human_aging,train
"All other things being equal, which of the following persons is more likely to show osteoporosis?","{""A"": ""An older Hispanic American woman"", ""B"": ""An older African American woman"", ""C"": ""An older Asian American woman"", ""D"": ""An older Native American woman""}",C,mmlu,mmlu,mmlu-human_aging,train
One difference that seems to be mostly cohort rather than age is the difference in ____ for different age groups,"{""A"": ""Coping strategies"", ""B"": ""Work productivity"", ""C"": ""Rates of dementia"", ""D"": ""Personality traits""}",D,mmlu,mmlu,mmlu-human_aging,test
"With respect to job training, younger workers","{""A"": ""Receive more opportunities than older workers"", ""B"": ""Perform better on the job than trained older workers"", ""C"": ""Always learn faster than older workers"", ""D"": ""Prefer to have classes by themselves""}",A,mmlu,mmlu,mmlu-human_aging,test
"Of the following, which is the more frequent stereotype of older adults?","{""A"": ""Full of wisdom and knowledge"", ""B"": ""Healthy and independent"", ""C"": ""Confused and disoriented"", ""D"": ""Sleepy and lazy""}",C,mmlu,mmlu,mmlu-human_aging,test
"An older adult who has received a message (e.g., it's going to rain tomorrow) would be most likely to remember what when telling another person?","{""A"": ""The person who told them it would rain"", ""B"": ""Where they were when they received the message"", ""C"": ""The contents of the message"", ""D"": ""The time of day that the message was received""}",C,mmlu,mmlu,mmlu-human_aging,test
The loss of a ____ is regarded in the U. S. as the most severe loss and frequently produces guilt in addition to other emotions.,"{""A"": ""Spouse"", ""B"": ""Parent"", ""C"": ""Child"", ""D"": ""Sibling""}",C,mmlu,mmlu,mmlu-human_aging,test
The strongest research technique for determining genetic contributions to longevity is to compare,"{""A"": ""Siblings and parents"", ""B"": ""Identical and fraternal twins"", ""C"": ""Ancestors of different families"", ""D"": ""Centenarians to younger adults""}",B,mmlu,mmlu,mmlu-human_aging,validation
When asked where they would like to live for the rest of their lives most older adults say that they would prefer,"{""A"": ""Moving to be close to their children"", ""B"": ""Moving to Arizona or Florida if they could"", ""C"": ""Residing in a very nice nursing home"", ""D"": ""Staying in their own home""}",D,mmlu,mmlu,mmlu-human_aging,validation
A major difference between cancer cells and normal cells is that,"{""A"": ""Cancer cells have no telomere strands"", ""B"": ""Normal cells become cancerous when their telomere strands are used up"", ""C"": ""Cancer cells have no upper limit on cell division"", ""D"": ""Normal cells are protected from cancer when they have telomerase""}",C,mmlu,mmlu,mmlu-human_aging,validation
The suicide rate is highest for which of the following groups?,"{""A"": ""African American adolescent boys"", ""B"": ""Middle-aged Hispanic women"", ""C"": ""Old white men"", ""D"": ""Young Asian American women""}",C,mmlu,mmlu,mmlu-human_aging,validation
Some recent work has found an association between obesity and,"{""A"": ""Shorter telomere strands"", ""B"": ""Tobacco use"", ""C"": ""Excess alcohol use"", ""D"": ""Skin cancers""}",A,mmlu,mmlu,mmlu-human_aging,validation
"A tank initially contains a salt solution of 3 grams of salt dissolved in 100 liters of water. A salt solution containing 0.02 grams of salt per liter of water is sprayed into the tank at a rate of 4 liters per minute. The sprayed solution is continually mixed with the salt solution in the tank, and the mixture flows out of the tank at a rate of 4 liters per minute. If the mixing is instantaneous, how many grams of salt are in the tank after 100 minutes have elapsed?","{""A"": ""2"", ""B"": ""2 - e^-2"", ""C"": ""2 + e^-2"", ""D"": ""2 + e^-4""}",D,mmlu,mmlu,mmlu-college_mathematics,train
"Let A be a real 2x2 matrix. Which of the following statements must be true?
I. All of the entries of A^2 are nonnegative.
II. The determinant of A^2 is nonnegative.
III. If A has two distinct eigenvalues, then A^2 has two distinct eigenvalues.","{""A"": ""I only"", ""B"": ""II only"", ""C"": ""III only"", ""D"": ""II and III only""}",B,mmlu,mmlu,mmlu-college_mathematics,train
"Suppose that f(1 + x) = f(x) for all real x. If f is a polynomial and f(5) = 11, then f(15/2)","{""A"": ""-11"", ""B"": ""0"", ""C"": ""11"", ""D"": ""33/2""}",C,mmlu,mmlu,mmlu-college_mathematics,train
"Let A be the set of all ordered pairs of integers (m, n) such that 7m + 12n = 22. What is the greatest negative number in the set B = {m + n : (m, n) \in A}?","{""A"": ""-5"", ""B"": ""-4"", ""C"": ""-3"", ""D"": ""-2""}",B,mmlu,mmlu,mmlu-college_mathematics,train
What is the greatest possible area of a triangular region with one vertex at the center of a circle of radius 1 and the other two vertices on the circle?,"{""A"": ""1/2"", ""B"": ""1"", ""C"": ""sqrt(2)"", ""D"": ""pi""}",A,mmlu,mmlu,mmlu-college_mathematics,test
"If U and V are 3-dimensional subspaces of R^5, what are the possible dimensions of U ∩ V?","{""A"": ""0"", ""B"": ""1"", ""C"": ""0 or 1"", ""D"": ""1, 2, or 3""}",D,mmlu,mmlu,mmlu-college_mathematics,test
A fair die is tossed 360 times. The probability that a six comes up on 70 or more of the tosses is,"{""A"": ""greater than 0.50"", ""B"": ""between 0.16 and 0.50"", ""C"": ""between 0.02 and 0.16"", ""D"": ""between 0.01 and 0.02""}",C,mmlu,mmlu,mmlu-college_mathematics,validation
"If one arch of the curve y = sin x is revolved around the x-axis, what's the volume of the generated solid?","{""A"": ""\u03c0^2 / 4"", ""B"": ""\u03c0^2 / 2"", ""C"": ""2\u03c0"", ""D"": ""\u03c0^2""}",B,mmlu,mmlu,mmlu-college_mathematics,validation
"According to Caplan's model of consultee-centered case consultation, the consultant is primarily interested in","{""A"": ""identifying the causes and solutions of the client's presenting problems"", ""B"": ""identifying and eliminating the causes of the consultee's difficulties in handling a problem"", ""C"": ""establishing a hierarchy of authority to enable effective decision making"", ""D"": ""presenting a single, well-defined and unambiguous course of action for the consultant to overcome skills deficits""}",B,mmlu,mmlu,mmlu-high_school_psychology,train
"While swimming in the ocean, Ivan is frightened by a dark shadow in the water even before he has the chance to identify what the shadow is. The synaptic connections taking place during this incident of fright are best described by which of the following?","{""A"": ""Messages are sent from the thalamus directly to the amygdala."", ""B"": ""Messages are sent from the thalamus to the \""what\"" and \""where\"" pathways."", ""C"": ""Messages are sent from the parasympathetic nervous system to the cerebral cortex."", ""D"": ""Messages are sent from the frontal lobes to the pituitary gland.""}",A,mmlu,mmlu,mmlu-high_school_psychology,train
"According to the Individuals with Disabilities Education Improvement Act, which of the following must an educational agency do before it changes the educational placement of a student with a disability?","{""A"": ""Give the child a trial period in the new environment"", ""B"": ""Notify the parents in writing"", ""C"": ""Obtain school board approval"", ""D"": ""Obtain parental consent""}",B,mmlu,mmlu,mmlu-high_school_psychology,train
Pascale is interested in the processing strategies children use to learn new information. Pascale would best be classified as what type of psychologist?,"{""A"": ""sociocultural"", ""B"": ""clinical"", ""C"": ""cognitive"", ""D"": ""behaviorist""}",C,mmlu,mmlu,mmlu-high_school_psychology,train
Which of the following is an example of an implicit memory?,"{""A"": ""describing the taste of the cake at your last birthday party"", ""B"": ""remembering how to tie a tie"", ""C"": ""recalling the name of your junior high school shop teacher"", ""D"": ""recognizing a celebrity""}",B,mmlu,mmlu,mmlu-high_school_psychology,test
Professor Ek is interested in studying online bullying behaviors of middle school students. Which of the following research method choices (and the rationale for the choice) is the most appropriate?,"{""A"": ""Experiment-the most convenient and ethical way to study online bullying is to randomly assign half of the participants to a group who experiences the independent variable (online bullying)."", ""B"": ""Correlation-it would be unethical to purposefully expose middle school students to bullying behaviors, so Professor Ek should examine variables that correlate with existing instances of online bullying."", ""C"": ""Naturalistic observation-observing instances of online bullying by monitoring middle school students' social networking behavior would provide the most accurate data and not raise important privacy concerns, because social networks are considered \""public\"" space."", ""D"": ""Survey-self-reports about online bullying behaviors and responses to these behaviors would likely provide the most accurate descriptions of bullying and its impact.""}",B,mmlu,mmlu,mmlu-high_school_psychology,test
"What is the mode of the following set of scores? 70, 70, 80, 80, 60, 60, 50, 90, 90, 90","{""A"": ""74"", ""B"": ""75"", ""C"": ""90"", ""D"": ""40""}",C,mmlu,mmlu,mmlu-high_school_psychology,test
The scientific investigation of mental processes and behavior is called,"{""A"": ""biology"", ""B"": ""psychology"", ""C"": ""cognition"", ""D"": ""scientific method""}",B,mmlu,mmlu,mmlu-high_school_psychology,test
"According to Erikson, a young adult's developmental crisis centers around","{""A"": ""intimacy vs. isolation"", ""B"": ""identity vs. role confusion"", ""C"": ""autonomy vs. shame and guilt"", ""D"": ""industry vs. inferiority""}",A,mmlu,mmlu,mmlu-high_school_psychology,test
"Because Jake, the team's starting, star center, is late to basketball practice, Coach Peterson sits him out for the first quarter of the next game. Jake is on time for the rest of the season. Coach Peterson has used","{""A"": ""positive punishment."", ""B"": ""negative reinforcement."", ""C"": ""modeling."", ""D"": ""omission training.""}",D,mmlu,mmlu,mmlu-high_school_psychology,test
"Tony got accepted to the college he wants to attend, is going to the prom with a girl he really admires, and was hired for the summer job he sought. He has high","{""A"": ""self-efficacy"", ""B"": ""self-doubt"", ""C"": ""self-handicapping"", ""D"": ""introversion""}",A,mmlu,mmlu,mmlu-high_school_psychology,test
"Which of the following kinds of brain scans would be most useful in disproving the statement: ""Most people only use 10 percent of their brains""?","{""A"": ""CAT"", ""B"": ""MRI"", ""C"": ""EEG"", ""D"": ""PET""}",D,mmlu,mmlu,mmlu-high_school_psychology,test
An action potential involves the movement of,"{""A"": ""glucose into the axon"", ""B"": ""fats out of the axon terminal"", ""C"": ""molecules in the synaptic gap"", ""D"": ""sodium ions into the axon""}",D,mmlu,mmlu,mmlu-high_school_psychology,test
"If a distribution of scores includes one or more outliers, which of the following measures of central tendency should be used?","{""A"": ""standard deviation"", ""B"": ""range"", ""C"": ""median"", ""D"": ""mean""}",C,mmlu,mmlu,mmlu-high_school_psychology,test
"In people, rods, unlike cones,","{""A"": ""are located in the center of the retina."", ""B"": ""synapse with bipolar cells."", ""C"": ""respond more quickly to bright colors."", ""D"": ""have a low absolute threshold for light.""}",D,mmlu,mmlu,mmlu-high_school_psychology,test
"In the Harlow study of emotional attachment, infant monkeys were placed in a cage and given both a ""wire"" mother and a ""cloth"" mother. Researchers then moved a bottle of milk from one mother to the other while introducing various stimuli to see if the monkeys would form an attachment to either of the ""mothers."" In this experiment, the independent variable is","{""A"": ""with which \""mother\"" the bottle of milk is placed"", ""B"": ""the \""wire\"" mother versus the \""cloth\"" mother"", ""C"": ""the preference of the infants for the source of milk"", ""D"": ""the preference of the infants for the \""wire\"" mother""}",A,mmlu,mmlu,mmlu-high_school_psychology,test
More than half of the volume of the human brain is composed of the,"{""A"": ""cerebral cortex"", ""B"": ""septum, amygdala, hippocampus, and cingulate cortex"", ""C"": ""medulla, pons, and cerebellum"", ""D"": ""hypothalamus and thalamus""}",A,mmlu,mmlu,mmlu-high_school_psychology,validation
"In studying for the AP Psychology exam, good advice would be to","{""A"": ""store as much as possible in your short-term memory."", ""B"": ""read this book over and over as many times as you can."", ""C"": ""rely heavily on the serial position effect."", ""D"": ""study from multiple sources.""}",D,mmlu,mmlu,mmlu-high_school_psychology,validation
"Many experts on parenting recommend different approaches to responding to an infant's needs. Some emphasize responding promptly to a newborn's cries to instill a sense of security, whereas others suggest letting the baby ""cry it out."" Which of the following accounts of development would be most relevant when weighing these different approaches?","{""A"": ""Piaget's theory of cognitive development"", ""B"": ""Whorf's hypothesis of linguistic relativity"", ""C"": ""Erikson's model of psychosocial stages"", ""D"": ""Descartes's theory of Cartesian dualism""}",C,mmlu,mmlu,mmlu-high_school_psychology,validation
Vance's therapist believes Vance is psychotic. From which of the following medications would he most likely believe Vance would benefit?,"{""A"": ""L-Dopa"", ""B"": ""neuroleptics"", ""C"": ""benzodiazepines"", ""D"": ""SSRIs""}",B,mmlu,mmlu,mmlu-high_school_psychology,validation
"Lisa, determined to get away from her abusive father, leaves home and moves in with an abusive boyfriend. Lisa's choice of an abusive boyfriend is most relevant to Sigmund Freud's theory of","{""A"": ""psychodynamic conflict"", ""B"": ""opposing motives"", ""C"": ""id, ego, and superego"", ""D"": ""behavioral dysfunction""}",A,mmlu,mmlu,mmlu-high_school_psychology,validation
People who suffer from major depression often have very low levels of which neurotransmitter?,"{""A"": ""thyroxin"", ""B"": ""endocrine"", ""C"": ""acetylcholine"", ""D"": ""serotonin""}",D,mmlu,mmlu,mmlu-high_school_psychology,validation
